COACH ID,COACH,PAKE,PAKE RANK,PASE,PASE RANK,GAMES,W,L,WIN%,R64,R32,S16,E8,F4,F2,CHAMP,TOP2,F4%,CHAMP%
242,Ed DeChillis,-0.7,242,-0.6,234,1,0,1,0,1,0,0,0,0,0,0,0,1.40%,0.10%
243,Tom Crean,-0.7,243,-0.7,242,12,7,5,0.583,5,4,3,0,0,0,0,1,49.10%,12.90%
244,Tim Cluess,-0.7,244,-0.6,235,5,0,5,0,5,0,0,0,0,0,0,0,0.30%,0.00%
245,T.J. Otzelberger,-0.7,245,-0.6,236,9,4,5,0.444,5,2,2,0,0,0,0,1,24.20%,5.70%
246,Johnny Jones,-0.8,246,-0.7,243,4,0,4,0,4,0,0,0,0,0,0,0,0.60%,0.00%
247,Gregg Marshall,-0.8,247,0.2,94,16,9,7,0.562,7,5,2,1,1,0,0,1,47.60%,13.50%
248,Chris Jans,-0.8,248,-1.2,264,5,1,4,0.2,4,1,0,0,0,0,0,0,3.20%,0.10%
249,Dan Dakich,-0.8,249,-0.7,244,1,0,1,0,1,0,0,0,0,0,0,0,2.10%,0.10%
250,Steve Fischer,-0.8,250,-1.2,265,12,6,6,0.5,6,4,2,0,0,0,0,1,32.10%,6.90%
251,Ben Howland,-0.8,251,-1.5,282,11,6,5,0.545,5,3,1,1,1,0,0,1,47.20%,11.50%
252,Niko Medved,-0.9,252,-1.7,288,2,0,2,0,2,0,0,0,0,0,0,0,1.50%,0.10%
253,Bob McKillop,-0.9,253,0.3,89,9,3,6,0.333,6,1,1,1,0,0,0,0,11.20%,2.30%
254,Tim Floyd,-0.9,254,-0.7,245,3,1,2,0.333,2,1,0,0,0,0,0,0,5.90%,0.60%
255,Phil Martelli,-0.9,255,-1,254,4,1,3,0.25,3,1,0,0,0,0,0,0,5.40%,0.30%
256,Dave Paulsen,-0.9,256,-0.8,248,2,0,2,0,2,0,0,0,0,0,0,0,1.70%,0.10%
257,Mark Fox,-0.9,257,-1.2,266,2,0,2,0,2,0,0,0,0,0,0,0,1.40%,0.00%
258,Jim Boyten,-0.9,258,-1.2,267,1,0,1,0,1,0,0,0,0,0,0,0,3.40%,0.30%
259,Penny Hardaway,-1,259,-0.3,212,3,1,2,0.333,2,1,0,0,0,0,0,0,9.70%,1.50%
260,Mike Rhoades,-1,260,-1.8,293,3,0,3,0,3,0,0,0,0,0,0,0,1.90%,0.10%
261,Matt Langel,-1,261,-0.7,246,5,0,5,0,5,0,0,0,0,0,0,0,0.50%,0.00%
262,Larry Brown,-1,262,-1.1,258,1,0,1,0,1,0,0,0,0,0,0,0,3.10%,0.20%
263,Tim Miles,-1,263,-1.3,271,2,0,2,0,2,0,0,0,0,0,0,0,1.60%,0.10%
264,Craig Neal,-1,264,-0.9,251,1,0,1,0,1,0,0,0,0,0,0,0,3.50%,0.30%
265,Tad Boyle,-1,265,-1.4,276,9,3,6,0.333,6,3,0,0,0,0,0,0,15.90%,2.00%
266,Anthony Grant,-1,266,-1.2,268,4,1,3,0.25,3,1,0,0,0,0,0,0,6.10%,0.40%
267,Lamont Paris,-1.1,267,-1.3,272,2,0,2,0,2,0,0,0,0,0,0,0,1.30%,0.00%
268,Scott Nagy,-1.1,268,-1.1,259,5,0,5,0,5,0,0,0,0,0,0,0,1.40%,0.00%
269,Pat Kelsey,-1.1,269,-1.5,283,4,0,4,0,4,0,0,0,0,0,0,0,0.80%,0.00%
270,Richard Pitino,-1.1,270,-1.4,277,4,1,3,0.25,3,1,0,0,0,0,0,0,5.20%,0.40%
271,Leon Rice,-1.1,271,-1.3,273,2,0,2,0,2,0,0,0,0,0,0,0,1.90%,0.20%
272,Herb Sendek,-1.1,272,-0.7,247,3,1,2,0.333,2,1,0,0,0,0,0,0,8.60%,1.50%
273,Bob Huggins,-1.1,273,-0.2,191,25,14,11,0.56,11,7,5,1,1,0,0,1,64.20%,17.60%
274,Josh Pastner,-1.2,274,-1.6,286,7,2,5,0.286,5,2,0,0,0,0,0,0,10.80%,1.30%
275,Ed Cooley,-1.3,275,-2.1,299,9,3,6,0.333,6,2,1,0,0,0,0,0,9.40%,0.70%
276,Bryce Drew,-1.3,276,-0.8,249,7,1,6,0.143,6,1,0,0,0,0,0,0,2.80%,0.20%
277,Craig Smith,-1.3,277,-1.4,278,2,0,2,0,2,0,0,0,0,0,0,0,2.20%,0.10%
278,Kelvin Sampson,-1.3,278,1,49,20,14,6,0.7,6,6,5,2,1,0,0,3,89.60%,47.80%
279,Steve Lavin,-1.3,279,-1.7,289,2,0,2,0,2,0,0,0,0,0,0,0,3.40%,0.20%
280,Keno Davis,-1.3,280,-1.2,269,1,0,1,0,1,0,0,0,0,0,0,0,7.60%,0.90%
281,Chris Holtmann,-1.4,281,-1.3,274,14,7,7,0.5,7,6,1,0,0,0,0,1,35.00%,5.30%
282,Will Wade,-1.4,282,-1.3,275,10,4,6,0.4,6,3,1,0,0,0,0,0,20.50%,1.90%
283,Mick Cronin,-1.5,283,0,139,26,14,12,0.538,12,8,4,1,1,0,0,2,67.70%,23.60%
284,Darian DeVries,-1.5,284,-1.8,294,3,0,3,0,3,0,0,0,0,0,0,0,2.20%,0.10%
285,Brad Underwood,-1.5,285,-2.1,300,15,7,8,0.467,8,5,1,1,0,0,0,1,42.00%,9.60%
286,Marvin Menzies,-1.5,286,-1.4,279,5,0,5,0,5,0,0,0,0,0,0,0,1.20%,0.00%
287,Steve Wojciechowski,-1.5,287,-1.8,295,2,0,2,0,2,0,0,0,0,0,0,0,2.20%,0.20%
288,Bobby Hurley,-1.5,288,-1.8,296,3,0,3,0,3,0,0,0,0,0,0,0,1.40%,0.10%
289,Tim Jankovich,-1.6,289,-1.1,260,1,0,1,0,1,0,0,0,0,0,0,0,10.80%,2.30%
290,Fred Hoiberg,-1.6,290,-1.7,290,9,4,5,0.444,5,3,1,0,0,0,0,0,21.40%,2.40%
291,Mark Schmidt,-1.6,291,-1.4,280,3,0,3,0,3,0,0,0,0,0,0,0,3.00%,0.20%
292,Steve Prohm,-1.7,292,-1.2,270,3,1,2,0.333,2,1,0,0,0,0,0,0,14.00%,2.20%
293,John Becker,-1.7,293,-1.1,261,6,0,6,0,6,0,0,0,0,0,0,0,1.50%,0.00%
294,Tubby Smith,-1.7,294,-1.6,287,5,1,4,0.2,4,1,0,0,0,0,0,0,7.80%,0.70%
295,Dave Rice,-1.8,295,-2.2,302,2,0,2,0,2,0,0,0,0,0,0,0,4.30%,0.40%
296,Todd Golden,-2,296,-1.5,284,2,0,2,0,2,0,0,0,0,0,0,0,6.70%,0.60%
297,Cuonzo Martin,-2.1,297,-1.5,285,6,2,4,0.333,4,1,1,0,0,0,0,0,16.30%,3.30%
298,Kevin Willard,-2.1,298,-2.4,304,8,2,6,0.25,6,2,0,0,0,0,0,0,11.80%,1.30%
299,Stew Morrill,-2.1,299,-1.7,291,3,0,3,0,3,0,0,0,0,0,0,0,7.10%,1.00%
300,Thad Matta,-2.1,300,-0.6,237,19,12,7,0.632,7,5,4,2,1,0,0,4,81.00%,41.50%
301,Mark Pope,-2.1,301,-2.1,301,2,0,2,0,2,0,0,0,0,0,0,0,6.90%,0.70%
302,Bruce Weber,-2.3,302,-2.8,307,11,4,7,0.364,7,2,1,1,0,0,0,0,20.40%,2.40%
303,Rick Byrd,-2.4,303,-1.9,297,6,0,6,0,6,0,0,0,0,0,0,0,6.40%,0.50%
304,Frank Haith,-2.5,304,-2.8,308,4,1,3,0.25,3,1,0,0,0,0,0,1,19.80%,3.40%
305,Dave Rose,-2.5,305,-1.9,298,9,3,6,0.333,6,2,1,0,0,0,0,0,26.50%,4.90%
306,Matt Painter,-2.6,306,-2.7,306,35,21,14,0.6,14,10,7,2,1,1,0,3,85.70%,32.30%
307,Fran Dunphy,-2.6,307,-3.6,312,9,2,7,0.222,7,2,0,0,0,0,0,0,13.50%,1.40%
308,Fran McCaffery,-2.6,308,-1.7,292,15,6,9,0.4,9,6,0,0,0,0,0,1,34.20%,7.20%
309,Kevin Stallings,-2.7,309,-4.4,316,5,1,4,0.2,4,1,0,0,0,0,0,0,11.20%,1.60%
310,Mike Young,-2.8,310,-2.2,303,8,1,7,0.125,7,1,0,0,0,0,0,0,9.20%,0.80%
311,Shaka Smart,-3,311,-4.1,315,20,9,11,0.45,11,5,2,1,1,0,0,2,45.90%,8.00%
312,Tommy Lloyd,-3,312,-4,314,7,4,3,0.571,3,2,2,0,0,0,0,3,53.00%,13.20%
313,Travis Ford,-3,313,-3.2,311,7,1,6,0.143,6,1,0,0,0,0,0,0,11.50%,1.60%
314,Oliver Purnell,-3.2,314,-2.9,310,3,0,3,0,3,0,0,0,0,0,0,0,11.80%,1.60%
315,Randy Bennett,-4.1,315,-2.8,309,14,5,9,0.357,9,4,1,0,0,0,0,0,33.00%,5.90%
316,Jamie Dixon,-5.6,316,-6.3,317,20,9,11,0.45,11,7,1,1,0,0,0,2,66.30%,20.70%
317,John Thompson,-5.8,317,-7.9,319,9,3,6,0.333,6,3,0,0,0,0,0,2,38.20%,7.30%
318,Rick Barnes,-6.4,318,-3.8,313,28,15,13,0.536,13,9,4,2,0,0,0,3,80.90%,28.10%
319,Tony Bennett,-6.5,319,-7,318,24,15,9,0.625,10,6,4,2,1,1,1,5,93.60%,52.60%
